Neurones,Essais,Taux,Erreur,Moyenne
20,10000,0.001, 0.10927909  0.10259965  0.11118961  0.11294586  0.20237417,0.127677676
60,10000,0.0005, 0.11050596  0.08957728  0.12486795  0.13680876  0.18088959,0.12852990800000003
40,1000,0.005, 0.12014473  0.11279563  0.10668518  0.09874987  0.2324593 ,0.134166942
10,1500,0.01, 0.11539446  0.11406649  0.11483243  0.11527108  0.23206772,0.138326436
150,10000,0.0001, 0.11198104  0.14928748  0.10951115  0.15348032  0.17320608,0.139493214
20,1000,0.008, 0.12156171  0.10136077  0.10640397  0.13817814  0.24314635,0.14213018800000002
40,1000,0.006, 0.09581747  0.11299657  0.11777983  0.09736074  0.29814857,0.144420636
150,10000,0.0001," 0.14715211,0.1166791, 0.11509401,0.19360655,0.15399737",0.14530582799999997
15,10000,0.001, 0.12862989  0.10958064  0.12829708  0.10855111  0.26611032,0.148233808
10,1000,0.01, 0.13694857  0.12793332  0.12882853  0.16338596  0.22646498,0.15671227199999999
30,1000,0.005, 0.13841225  0.08404146  0.14549955  0.10740026  0.32660853,0.16039240999999999
50,1000,0.02, 0.2062451   0.15228697  0.19192343  0.18735409  0.06454099,0.160470116
40,10000,0.0004, 0.1273189   0.19310988  0.09081426  0.12221642  0.27047633,0.16078715799999999
95,10000,0.04584, 0.1961796   0.18626015  0.19141049  0.20759389  0.03128211,0.16254524800000003
25,10000,0.04, 0.19911027  0.19049564  0.19594895  0.18798844  0.04712954,0.164134568
10,1000,0.01, 0.12816377  0.15032143  0.10607498  0.12619668  0.34401506,0.170954384
60,1000,0.01, 0.24099128  0.11771366  0.21780572  0.19215638  0.09438331,0.17261007
60,1000,0.01, 0.35526419  0.07621496  0.22543038  0.11497213  0.09313581,0.173003494
150,1000,0.001, 0.11947746  0.12705139  0.18419667  0.19915029  0.2370818 ,0.173391522
50,1600,0.005, 0.10515014  0.08639175  0.07988387  0.08679938  0.51923382,0.17549179199999998
10,10000,0.05, 0.21552223  0.21272965  0.21361075  0.21372473  0.03572163,0.178261798
60,1000,0.01, 0.31352248  0.08120728  0.29173333  0.14322439  0.06361052,0.17865959999999997
50,120,0.01, 0.21032174  0.08806842  0.19784405  0.09173392  0.33716389,0.185026404
15,1000,0.01, 0.12800506  0.12566909  0.12943402  0.13140242  0.41563599,0.18602931600000003
15,10000,0.05, 0.22561898  0.22679506  0.22726998  0.23283658  0.03767482,0.19003908399999997
40,10000,0.05, 0.23749172  0.2355603   0.22270735  0.22266833  0.03982089,0.191649718
75,1000,0.01, 0.15523402  0.33181411  0.15620274  0.24939117  0.07026108,0.192580624
4,10000,0.02, 0.23127093  0.22342518  0.22583844  0.23235401  0.08207333,0.19899237799999997
50,1000,0.001, 0.18529841  0.15784066  0.12215797  0.11210064  0.43431812,0.20234316
150,1000,0.001, 0.22807424  0.23756293  0.14404662  0.23826262  0.18549836,0.206688954
10,1000,0.01, 0.16173715  0.13548325  0.15171618  0.15347628  0.44967373,0.21041731800000002
15,10000,0.05, 0.25708307  0.25435559  0.25439975  0.2526597   0.03893261,0.211486144
10,10000,0.001, 0.12755472  0.13643059  0.13559129  0.15834071  0.50077971,0.21173940400000002
10,10000,0.001, 0.11824771  0.18905461  0.13262799  0.16525795  0.45952025,0.212941702
80,1000,0.0154, 0.34084165  0.20463407  0.11823042  0.38725362  0.05879906,0.221951764
70,1000,0.001, 0.10680222  0.19662696  0.13897572  0.17178031  0.49661032,0.22215910600000002
10,1000,0.01, 0.1384903   0.12405402  0.14005685  0.14111028  0.57431433,0.223605156
10,1000,0.04," 0.26694751,0.25613678,0.27006757,0.26908956,0.05945081",0.22433844600000002
12,1000,0.05," 0.25499721,0.25990688,0.25126258,0.28440282,0.07774959",0.22566381600000002
100,10000,0.0001, 0.10339191  0.09097584  0.1148053   0.12189265  0.70910145,0.22803342999999998
10,1000,0.05, 0.29070462  0.26717911  0.2627522   0.26138099  0.07376299,0.23115598200000004
3,10000,0.02, 0.27093888  0.26503519  0.26188488  0.27092934  0.08751065,0.23125978800000002
10,1000,0.01, 0.11978572  0.11825741  0.10580413  0.17962097  0.63681015,0.23205567599999996
15,1000,0.005, 0.15462429  0.18845976  0.15782472  0.1666993   0.49297424,0.23211646200000002
10,1000,0.05, 0.30456469  0.2743152   0.27180474  0.27218446  0.07138234,0.238850286
6,10000,0.001, 0.16264043  0.16260617  0.15927946  0.15136153  0.57087629,0.241352776
18,1000,0.054, 0.2875624   0.26874633  0.27000636  0.29113046  0.08949233,0.241387576
20,1000,0.05," 0.28381315,0.30003588,0.28776994,0.27577979,0.06324548",0.24212884799999998
2,10000,0.01, 0.17038323  0.15750974  0.15345188  0.1589197   0.58131137,0.24431518400000002
2,10000,0.01, 0.17122571  0.15806962  0.16664127  0.16478467  0.56203203,0.24455065999999998
100,1000,0.001, 0.17228072  0.1089478   0.16887731  0.10054464  0.68036756,0.246203606
20,1000,0.05," 0.27139094,0.27141812,0.31588922,0.30442035,0.07309887",0.2472435
